Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Neon Blue Cichlid,Paracyprichromis nigripinnis,,African cichlids,Moderate,4.4 inches / 111 mm,4.4 inches / 111 mm,5 - 8 years,7.5 - 9.0,75 - 81 F / 24 - 27 C,8 - 25 dGH,Top,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Neon Dwarf Rainbowfish,Melanotaenia praecox,,Rainbowfish,Easy,3.2 inches / 81 mm,3.2 inches / 81 mm,3 - 5 years,6.8 - 7.5,73 - 82 F / 23 - 28 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Neon Tetra,Paracheirodon innesi,Green Neon Tetra,Tetras,Easy,1.0 inches / 25 mm,1.5 inches / 38 mm,5 - 10 years,5.0 - 8.0,68 - 81 F / 20 - 27 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
New Guinea Rainbowfish,Melanotaenia affinis,,Rainbowfish,Easy,4.8 inches / 121 mm,5.0 inches / 127 mm,5 - 8 years,6.5 - 8.0,68 - 86 F / 20 - 30 C,8 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Milomo Hap,Placidochromis milomo,,African cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,8 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Misool Rainbowfish,Melanotaenia misoolensis,,Rainbowfish,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 years,6.0 - 8.5,72 - 82 F / 22 - 28 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Molly,Poecilia sphenops,,Livebearer,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,3 years,7.0 - 8.5,68 - 82 F / 20 - 28 C,15 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, algae, veggies, fry_food",Any,Moderate,Moderate,Moderate,15 gallons / 56 liters
Mono Sebae,Monodactylus sebae,,Brackish,Moderate,8.0 inches / 203 mm,10.0 inches / 254 mm,7 - 10 years,7.2 - 8.5,72 - 82 F / 22 - 28 C,8 - 15 dGH,Mid,Peaceful,Semi aggressive,Peaceful,5+,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Moonlight Gourami,Trichogaster microlepis,,Gouramis,Moderate,6.0 inches / 152 mm,7.0 inches / 177 mm,4 - 6 years,6.0 - 7.5,77 - 86 F / 25 - 30 C,2 - 25 dGH,Mid,Peaceful,Semi aggressive,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Low,Moderate,40 gallons / 151 liters
Motoro Stingray,Potamotrygon motoro,,Monster,Difficult,24.0 inches / 609 mm,36.0 inches / 914 mm,20 years,6.0 - 7.5,75 - 80 F / 24 - 27 C,1 - 12 dGH,Bottom,Aggressive,Peaceful,Aggressive,Any,1:1,No,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,250 gallons / 946 liters
Mountain Rainbowfish,Melanotaenia monticola,,Rainbowfish,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 years,6.5 - 8.0,63 - 77 F / 17 - 25 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Mountain Swordtail,Xiphophorus nezahualcoyotl,,Livebearer,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 years,6.8 - 7.5,66 - 79 F / 19 - 26 C,6 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Multi Cichlid,Neolamprologus multifasciatus,Many Banded Shell Dweller,African cichlids,Moderate,1.8 inches / 45 mm,1.8 inches / 45 mm,5 - 8 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:2,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Marlier’s Julie,Julidochromis marlieri,,African cichlids,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,7.5 - 9.5,73 - 81 F / 23 - 27 C,10 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Masked Julie,Julidochromis transcriptus,,African cichlids,Moderate,2.8 inches / 71 mm,2.8 inches / 71 mm,5 years,8.0 - 9.2,73 - 81 F / 23 - 27 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Mayan Cichlid,Cichlasoma urophthalmus,,American cichlids,Difficult,16.0 inches / 406 mm,16.0 inches / 406 mm,6 - 8 years,7.0 - 8.0,68 - 86 F / 20 - 30 C,1 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Pellets, flakes, live, frozen",Any,Moderate,Moderate,Low,125 gallons / 473 liters
Maylands Rainbowfish,Melanotaenia maylandi,,Rainbowfish,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,5 years,6.0 - 8.0,74 - 84 F / 23 - 29 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Mbu Puffer,Tetraodon mbu,,Puffer,Difficult,24.0 inches / 609 mm,30.0 inches / 762 mm,10 years,7.0 - 8.0,75 - 79 F / 24 - 26 C,10 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Moderate,Moderate,Moderate,350 gallons / 1324 liters
Mega Clown Pleco L340,Hypancistrus sp. L340,,Plecos,Easy,3.0 inches / 76 mm,4.0 inches / 101 mm,5 - 8 years,6.5 - 7.5,78 - 86 F / 26 - 30 C,6 - 10 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Melon Barb,Puntius fasciatus,,Barbs,Easy,3.0 inches / 76 mm,5.0 inches / 127 mm,6 years,6.0 - 7.5,72 - 82 F / 22 - 28 C,3 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Midas Cichlid,Amphilophus citrinellus,,American cichlids,Moderate,12.0 inches / 304 mm,14.0 inches / 355 mm,15 years,6.0 - 8.0,72 - 81 F / 22 - 27 C,5 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Midnight Catfish,Auchenipterichthys coracoideus,Zamora Woodcat,Misc catfish,Moderate,4.0 inches / 101 mm,4.3 inches / 109 mm,5 - 8 years,6.0 - 7.2,71 - 77 F / 22 - 25 C,0 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Live, frozen",Sand,Low,Low,High,20 gallons / 75 liters
Malawi Gar,Lichnochromis acuticeps,,African cichlids,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,5 years,7.5 - 8.6,74 - 82 F / 23 - 28 C,10 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Malawi Trout,Champsochromis caeruleus,Trout Cichlid,African cichlids,Difficult,13.0 inches / 330 mm,13.0 inches / 330 mm,5 - 8 years,7.5 - 8.5,75 - 80 F / 24 - 27 C,10 - 30 dGH,Top,Semi aggressive,Semi aggressive,Semi aggressive,1,1:3,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Any,125 gallons / 473 liters
Malaya Shrimp,Caridina sp. Malaya,,Invertebrates,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,1 - 2 years,6.8 - 7.8,65 - 78 F / 18 - 26 C,3 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,10 gallons / 37 liters
Malaysian Trumpet Snail,Melanoides tuberculata,,Invertebrates,Easy,1.0 inches / 25 mm,1.5 inches / 38 mm,3 years,7.0 - 8.0,70 - 78 F / 21 - 26 C,1 - 25 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,Algae,Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Mango Pleco,Baryancistrus chrysolomus,,Plecos,Easy,9.0 inches / 228 mm,11.0 inches / 279 mm,25 years,6.0 - 7.5,80 - 89 F / 27 - 32 C,8 - 12 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, veggies, algae",Gravel,Moderate,Moderate,Moderate,55 gallons / 208 liters
Marble Hatchet,Carnegiella strigata,,Hatchets,Moderate,1.25 inches / 31 mm,1.25 inches / 31 mm,2 - 5 years,5.5 - 7.5,75 - 82 F / 24 - 28 C,2 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,15 gallons / 56 liters
Marbled Bichir,Polypterus palmas polli,,Bichir,Moderate,13.0 inches / 330 mm,13.0 inches / 330 mm,10 - 15 years,6.0 - 7.0,77 - 82 F / 25 - 28 C,5 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,75 gallons / 283 liters
Marbled Goby,Oxyeleotris marmorata,,Monster,Difficult,26.0 inches / 660 mm,26.0 inches / 660 mm,5 - 8 years,6.5 - 7.5,72 - 82 F / 22 - 28 C,10 - 15 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Marbled Sailfin Pleco,Pterygoplichthys joselimaianus L001 L022,Gold Spot Pleco,Plecos,Easy,12.0 inches / 304 mm,12.0 inches / 304 mm,15 years,6.5 - 7.3,73 - 84 F / 23 - 29 C,4 - 16 dGH,Bottom,Peaceful,Semi aggressive,Aggressive,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Marbled Whiptail,Loricaria simillima,,Monster,Moderate,7.0 inches / 177 mm,7.2 inches / 182 mm,15 years,5.6 - 7.8,75 - 81 F / 24 - 27 C,1 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Lima Shovelnose Catfish,Sorubim lima,,Misc catfish,Moderate,18.0 inches / 457 mm,21.0 inches / 533 mm,5 - 8 years,6.5 - 7.8,73 - 86 F / 23 - 30 C,2 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,150 gallons / 567 liters
Livingstoni Cichlid,Nimbochromis livingstonii,,African cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Long-finned Tetra,Brycinus longipinnis,"African Longfin Tetra,  Long-Finned Characin",Tetras,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,3 - 5 years,6.0 - 8.0,71 - 79 F / 22 - 26 C,5 - 19 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,29 gallons / 109 liters
Lyretail Killifish,Aphyosemion australe,,Killifish,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,3 years,5.5 - 7.0,70 - 81 F / 21 - 27 C,2 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,2+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Macaw Cichlid,Hypsophrys nicaraguensis,Nicaraguan Cichlid,American cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,15 years,7.0 - 8.0,73 - 82 F / 23 - 28 C,8 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,No,Carnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Macmaster Dwarf Cichlid,Apistogramma macmasteri,Apistogramma macmasteri,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,6 years,5.0 - 7.0,72 - 84 F / 22 - 29 C,0 - 12 dGH,Bottom,Semi aggressive,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Live, frozen",Any,Low,Low,High,10 gallons / 37 liters
Madagascar Rainbowfish,Bedotia geayi,Red Tailed Silverside,Rainbowfish,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 years,4.5 - 7.5,72 - 89 F / 22 - 32 C,8 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Strong,High,20 gallons / 75 liters
Maingano Mbuna,Melanochromis cyaneorhabdos,,African cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,9 years,7.6 - 8.8,73 - 82 F / 23 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Malawi Eye-Biter,Dimidiochromis compressiceps,,African cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,5 - 8 years,7.5 - 8.8,73 - 82 F / 23 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:3,Yes,Carnivore,"Live, frozen",Sand,Low,Moderate,Moderate,75 gallons / 283 liters
Lemon Cichlid,Neolamprologus leleupi,,African cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,8 - 10 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,"1, 2",1:1,Yes,Omnivore,"Live, frozen, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Lemon Tetra,Hyphessobrycon pulchripinnis,,Tetras,Easy,1.5 inches / 38 mm,2.0 inches / 50 mm,3 - 5 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,3 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Leopard Bushfish,Ctenopoma acutirostre,"Leopard Gourami,  Spotted Climbing Perch",Misc,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,5 - 8 years,5.5 - 7.5,68 - 82 F / 20 - 28 C,2 - 12 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,55 gallons / 208 liters
Leopard Cory,Corydoras leopardus,,Cory,Easy,2.0 inches / 50 mm,2.3 inches / 58 mm,5 - 7 years,6.0 - 7.5,71 - 79 F / 22 - 26 C,4 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Leopard Frog Pleco,Peckoltia sp. L134,,Plecos,Easy,4.0 inches / 101 mm,4.3 inches / 109 mm,8 - 10 years,6.5 - 7.5,75 - 86 F / 24 - 30 C,6 - 10 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Leopard Pleco,Pterygoplichthys gibbiceps,Sailfin Pleco,Plecos,Easy,20.0 inches / 508 mm,20.0 inches / 508 mm,15 years,6.5 - 8.0,73 - 86 F / 23 - 30 C,4 - 18 dGH,Bottom,Peaceful,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Any,Moderate,Moderate,Moderate,100 gallons / 378 liters
Leopoldi Stingray,Potamotrygon leopoldi,Polka Dot Stingray,Monster,Difficult,20.0 inches / 508 mm,24.0 inches / 609 mm,20 years,6.0 - 7.5,68 - 84 F / 20 - 29 C,1 - 5 dGH,Bottom,Aggressive,Peaceful,Aggressive,Any,1:1,No,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,250 gallons / 946 liters
Licorice Gourami,Parosphromenus deissneri,,Gouramis,Difficult,1.0 inches / 25 mm,1.5 inches / 38 mm,3 - 5 years,3.0 - 7.0,72 - 82 F / 22 - 28 C,1 - 5 dGH,Top,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, live, frozen",Any,Low,Low,Moderate,5 gallons / 18 liters
Kubotai Rasboro,Microdevario kubotai,,Rainbowfish,Moderate,0.8 inches / 20 mm,0.8 inches / 20 mm,3 - 5 years,6.0 - 7.0,72 - 81 F / 22 - 27 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Kuhli Loach,Pangio kuhlii,,Loaches,Moderate,4.0 inches / 101 mm,5.0 inches / 127 mm,10 years,5.5 - 6.5,73 - 86 F / 23 - 30 C,0 - 5 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Carnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Lacerda Cory C015,Scleromystax lacerdai,,Cory,Easy,2.0 inches / 50 mm,2.4 inches / 60 mm,5 years,6.0 - 7.2,68 - 77 F / 20 - 25 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Lake Eacham Rainbowfish,Melanotaenia eachamensis,,Rainbowfish,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,5 years,6.8 - 8.0,71 - 81 F / 22 - 27 C,1 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Lake Tebera Rainbowfish,Melanotaenia herbertaxelrodi,,Rainbowfish,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,3 - 5 years,7.0 - 8.0,68 - 79 F / 20 - 26 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Lake Wanam Rainbowfish,Glossolepis wanamensis,,Rainbowfish,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,5 - 8 years,7.0 - 8.0,77 - 86 F / 25 - 30 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Lambchop Rasbora,Trigonostigma espei,,Rasboras,Easy,1.5 inches / 38 mm,2.0 inches / 50 mm,3 - 5 years,5.5 - 7.5,73 - 82 F / 23 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Lampeye Killifish,Aplocheilichthys kingii,,Killifish,Moderate,1.4 inches / 35 mm,1.4 inches / 35 mm,3 years,6.5 - 7.0,75 - 84 F / 24 - 29 C,4 - 8 dGH,Mid,Peaceful,Peaceful,Peaceful,4+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Least Killifish,Heterandria formosa,,Killifish,Easy,1.0 inches / 25 mm,1.4 inches / 35 mm,3 - 5 years,7.0 - 8.0,68 - 78 F / 20 - 26 C,5 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,High,10 gallons / 37 liters
Julii Cory,Corydoras julii,,Cory,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,5.5 - 7.5,68 - 79 F / 20 - 26 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Jurupari Eartheater,Satanoperca jurupari,,American cichlids,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,10 years,5.5 - 7.5,68 - 82 F / 20 - 28 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Kamaka Rainbowfish,Melanotaenia kamaka,,Rainbowfish,Easy,2.5 inches / 63 mm,2.8 inches / 71 mm,5 years,7.0 - 7.8,75 - 81 F / 24 - 27 C,6 - 14 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Kenyi Cichlid,Pseudotropheus lombardoi,,African cichlids,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Flakes, veggies, algae",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Keyhole Cichlid,Cleithracara maronii,,American cichlids,Moderate,4.0 inches / 101 mm,5.0 inches / 127 mm,7 years,6.0 - 8.0,70 - 82 F / 21 - 28 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
King Tiger Pleco L333,Hypancistrus sp. L333,,Plecos,Easy,5.0 inches / 127 mm,6.0 inches / 152 mm,5 - 8 years,5.5 - 7.5,79 - 86 F / 26 - 30 C,6 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Live, frozen",Sand,Low,Strong,Moderate,29 gallons / 109 liters
Kissing Gourami,Helostoma temminckii,,Gouramis,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,6 - 8 years,6.0 - 8.0,72 - 86 F / 22 - 30 C,1 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Knight Goby,Stigmatogobius sadanunidio,,Misc,Easy,3.6 inches / 91 mm,3.6 inches / 91 mm,5 - 7 years,7.0 - 8.5,68 - 79 F / 20 - 26 C,10 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, veggies, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Kribensis,Pelvicachromis pulcher,,African cichlids,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 years,5.0 - 8.0,75 - 81 F / 24 - 27 C,0 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Hystrix Stingray,Potamotrygon hystrix,Porcupine Stingray,Monster,Difficult,14.0 inches / 355 mm,20.0 inches / 508 mm,20 years,6.0 - 7.0,75 - 80 F / 24 - 27 C,5 - 10 dGH,Bottom,Aggressive,Peaceful,Aggressive,Any,1:1,No,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,150 gallons / 567 liters
Indian Glassfish,Parambassis ranga,,Misc,Easy,3.2 inches / 81 mm,3.2 inches / 81 mm,5 years,6.5 - 8.0,68 - 86 F / 20 - 30 C,8 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Indonesian Snakehead,Channa micropeltes,Giant Snakehead,Snakehead,Difficult,50.0 inches / 1270 mm,50.0 inches / 1270 mm,8 - 12 years,6.0 - 8.0,68 - 82 F / 20 - 28 C,2 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Low,1000 gallons / 3785 liters
Irian Jaya Rainbowfish,Melanotaenia irianjaya,,Rainbowfish,Easy,4.8 inches / 121 mm,4.8 inches / 121 mm,7 years,6.5 - 8.0,72 - 79 F / 22 - 26 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Iridescent Shark,Pangasius hypophthalmus,,Monster,Difficult,48.0 inches / 1219 mm,48.0 inches / 1219 mm,20 years,6.5 - 7.5,72 - 79 F / 22 - 26 C,2 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,250 gallons / 946 liters
Jack Dempsey,Rocio octofasciatum,Electric Blue Jack Dempsey,American cichlids,Easy,10.0 inches / 254 mm,10.0 inches / 254 mm,10 years,6.0 - 7.0,72 - 86 F / 22 - 30 C,8 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Jaguar Cichlid,Parachromis managuensis,,American cichlids,Moderate,16.0 inches / 406 mm,24.0 inches / 609 mm,15 years,7.0 - 8.7,73 - 82 F / 23 - 28 C,10 - 15 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
